Job Family,Avg_Total_Benefits,Avg_Total_Compensation,Percent_Total_Benefit
Public Service Aide,10204.543132075469,28384.762679245297,35.9507784066729
Park & Zoo,19939.636764705883,58318.2467647059,34.19107718576567
Library,5822.350714285713,17104.242142857143,34.04038989659165
Museum & Cultural Affairs,27037.39,83926.07,32.215722718816686
Revenue,15971.702058823532,49657.09911764708,32.16398529640957
Housekeeping & Laundry,25153.152614555234,81150.28783018867,30.995765125552673
Dietary & Food,18278.843825363816,59790.88349272345,30.57128906213328
Street Transit,30665.792218210954,101184.56650493153,30.30678815698278
Computer Operatns & Repro Svcs,19525.444203821648,64646.64433121013,30.203337552658002
"Clerical, Secretarial & Steno",11040.759204152244,36750.543474048456,30.042437908295756
Semi-Skilled & General Labor,24537.697512690334,82040.73362436543,29.909163934393245
Hospital Administration,31054.737317073166,104709.91865853654,29.657875504940442
Agriculture & Horticulture,28467.233406113537,95992.58351528391,29.65565918077514
"Payroll, Billing & Accounting",29416.11170329672,99757.91384615385,29.487496850287084
Med Therapy & Auxiliary,25155.383439153447,85380.99029100526,29.462510745560564
Community Development,8833.355714285713,29994.375714285714,29.450040228970543
Personnel,14424.318239436616,49098.839718309835,29.37812445709899
Information Systems,24149.305432098772,82947.1690123457,29.114080347340654
Purchasing & Storekeeping,28409.15412451363,97697.57143968875,29.07866972113154
"Budget, Admn & Stats Analysis",24146.939777777778,84152.62866666667,28.694219254190113
Property Administration,26791.14333333333,93551.40999999999,28.637882992178668
Human Services,28887.928341930743,101509.54459100965,28.45833705423721
Pub Relations & Spec Assts,13309.215833333334,46834.945,28.41727653002119
Sub-Professional Engineering,25293.342812499995,89557.05031249998,28.242715368853165
Recreation,3514.3245360824735,12473.069278350515,28.175298778964375
Health & Sanitation Inspection,36832.493333333325,132239.07111111112,27.85295830033893
Airport Operation,33419.111043165474,120545.86158273379,27.723150844319164
Protection & Apprehension,29073.998314763205,105888.85951253488,27.45708892191958
Energy & Environment,22773.096666666668,83055.26666666666,27.419208414637968
Management,34850.35551724139,127601.12637931037,27.31194975007065
Professional Engineering,27471.037800000006,101205.92040000003,27.143706308311977
Skilled Labor,30202.881396713587,112109.61598591547,26.94049134956276
Appraisal & Taxation,5292.32,19724.565,26.831111357842367
Construction Inspection,32335.709172413786,121403.22968965517,26.634966182591704
Legal & Court,29473.912685185187,111866.24768518514,26.347458053774094
Journeyman Trade,35086.69434567453,135228.79325513204,25.946171300573194
Nursing,25501.224757245072,98612.0946669177,25.86013900564694
"Lab, Pharmacy & Med Techs",32795.53560767593,128465.7921961621,25.52861352973908
Probation & Parole,31842.587096774187,126130.01,25.24584521699014
Public Safety Inspection,37900.2862857143,151515.74731428575,25.01409058630624
Supervisory-Labor & Trade,37727.08586440682,153623.70528813548,24.558114773788446
Port Operation,12265.135,50117.565,24.472727276355105
Correction & Detention,33849.85157296473,146212.78808294938,23.151088230231302
Administrative-DPW/PUC,22702.66,98251.1,23.106774377080765
SF Superior Court,4928.203333333334,21490.542222222222,22.93196366277507
Administrative-Labor & Trades,39960.12219512195,179801.15390243902,22.224619435314917
Medical & Dental,26258.791111111106,125997.67185185186,20.840695486807256
Fire Services,39951.29869767442,194701.9614096604,20.5192071042445
Police Services,32468.407481682418,161637.37038263268,20.087191102417876
Public Health,77.41,1089.3349999999998,7.10617027819725
